"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"115",2020-10-16,"051360","토비스","-",6380,"1,420","4.49","11,606","0.55",240,3.76,115,NA
"116",2020-10-16,"051370","인터플렉스","-",13800,"-","-","9,337","1.48",0,0,116,NA
"117",2020-10-16,"051390","YW","-",3585,"218","16.44","6,272","0.57",50,1.39,117,NA
"118",2020-10-16,"052220","iMBC","-",2700,"93","29.03","2,270","1.19",0,0,118,NA
"119",2020-10-16,"052330","코텍","-",8130,"2,069","3.93","20,412","0.4",400,4.92,119,NA
"120",2020-10-16,"052670","제일바이오","-",8000,"152","52.63","2,108","3.8",0,0,120,NA
"121",2020-10-16,"052710","아모텍","-",30900,"37","835.14","20,412","1.51",0,0,121,NA
"122",2020-10-16,"052790","액토즈소프트","-",11700,"1,897","6.17","10,423","1.12",0,0,122,NA
"123",2020-10-16,"053260","금강철강","-",3200,"265","12.08","5,902","0.54",100,3.13,123,NA
"124",2020-10-16,"053620","태양","-",8620,"925","9.32","18,435","0.47",150,1.74,124,NA
"125",2020-10-16,"054040","한국컴퓨터","-",2530,"496","5.1","5,849","0.43",130,5.14,125,NA
"126",2020-10-16,"054050","농우바이오","-",10150,"436","23.28","14,399","0.7",200,1.97,126,NA
"127",2020-10-16,"054450","텔레칩스","-",14600,"663","22.02","7,624","1.92",120,0.82,127,NA
"128",2020-10-16,"054540","삼영엠텍","-",5600,"273","20.51","5,964","0.94",100,1.79,128,NA
"129",2020-10-16,"054670","대한뉴팜","-",11950,"1,085","11.01","4,254","2.81",0,0,129,NA
"130",2020-10-16,"054800","아이디스홀딩스","-",13200,"-","-","20,285","0.65",200,1.52,130,NA
"131",2020-10-16,"054930","유신","-",13900,"-","-","27,126","0.51",0,0,131,NA
"132",2020-10-16,"054940","엑사이엔씨","-",1445,"-","-","1,570","0.92",0,0,132,NA
"133",2020-10-16,"054950","제이브이엠","-",31600,"993","31.82","19,525","1.62",400,1.27,133,NA
"134",2020-10-16,"056080","유진로봇","-",2045,"-","-","1,385","1.48",0,0,134,NA
"135",2020-10-16,"056090","유앤아이","-",3970,"-","-","4,892","0.81",0,0,135,NA
"136",2020-10-16,"056360","코위버","-",10200,"2,208","4.62","12,111","0.84",200,1.96,136,NA
"137",2020-10-16,"056700","신화인터텍","-",2915,"327","8.91","3,315","0.88",50,1.72,137,NA
"138",2020-10-16,"056730","포스링크","관리종목",1460,"-","-","182","8.02",0,0,138,NA
"139",2020-10-16,"058610","에스피지","-",7550,"370","20.41","6,336","1.19",100,1.32,139,NA
"140",2020-10-16,"058630","엠게임","-",4880,"406","12.02","2,050","2.38",0,0,140,NA
"141",2020-10-16,"059100","아이컴포넌트","-",4095,"-","-","4,061","1.01",0,0,141,NA
"142",2020-10-16,"059210","메타바이오메드","-",2790,"143","19.51","2,232","1.25",10,0.36,142,NA
"143",2020-10-16,"060280","큐렉소","-",6710,"-","-","1,318","5.09",0,0,143,NA
"144",2020-10-16,"060380","동양에스텍","-",2680,"199","13.47","5,148","0.52",100,3.73,144,NA
"145",2020-10-16,"060480","국일신동","-",3655,"-","-","4,269","0.86",50,1.37,145,NA
"146",2020-10-16,"060560","홈센타홀딩스","-",1340,"-","-","934","1.43",0,0,146,NA
"147",2020-10-16,"062860","티엘아이","-",7400,"180","41.11","7,219","1.03",100,1.35,147,NA
"148",2020-10-16,"062970","피피아이","-",7430,"339","21.92","2,409","3.08",0,0,148,NA
"149",2020-10-16,"063080","게임빌","-",33800,"2,110","16.02","38,098","0.89",0,0,149,NA
"150",2020-10-16,"063170","서울옥션","-",4905,"-","-","4,052","1.21",0,0,150,NA
"151",2020-10-16,"063440","SM Life Design","-",1855,"-","-","1,084","1.71",0,0,151,NA
"152",2020-10-16,"063760","이엘피","-",9380,"859","10.92","14,225","0.66",120,1.28,152,NA
"153",2020-10-16,"064240","홈캐스트","-",3150,"-","-","2,113","1.49",0,0,153,NA
"154",2020-10-16,"065060","지엔코","-",1135,"-","-","932","1.22",0,0,154,NA
"155",2020-10-16,"065130","탑엔지니어링","-",9120,"2,469","3.69","13,291","0.69",100,1.1,155,NA
"156",2020-10-16,"065150","MP그룹","관리종목",1315,"11","119.55","252","5.22",0,0,156,NA
"157",2020-10-16,"065510","휴비츠","-",6980,"688","10.15","7,403","0.94",150,2.15,157,NA
"158",2020-10-16,"065570","삼영이엔씨","-",6970,"-","-","8,544","0.82",0,0,158,NA
"159",2020-10-16,"065690","파커스","-",2640,"-","-","5,914","0.45",150,5.68,159,NA
"160",2020-10-16,"065770","CS","-",2445,"-","-","1,155","2.12",0,0,160,NA
"161",2020-10-16,"066310","큐에스아이","-",16950,"137","123.72","6,583","2.57",50,0.29,161,NA
"162",2020-10-16,"066620","국보디자인","-",16250,"2,293","7.09","16,449","0.99",300,1.85,162,NA
"163",2020-10-16,"066670","디스플레이텍","-",3565,"316","11.28","8,006","0.45",100,2.81,163,NA
"164",2020-10-16,"066900","디에이피","-",4135,"54","76.57","4,423","0.93",0,0,164,NA
"165",2020-10-16,"066980","브레인콘텐츠","-",494,"5","98.8","620","0.8",0,0,165,NA
"166",2020-10-16,"067280","멀티캠퍼스","-",29450,"3,162","9.31","18,503","1.59",600,2.04,166,NA
"167",2020-10-16,"067290","JW신약","-",5640,"35","161.14","1,587","3.55",60,1.06,167,NA
"168",2020-10-16,"067770","세진티에스","-",3300,"-","-","4,464","0.74",0,0,168,NA
"169",2020-10-16,"067900","와이엔텍","-",11500,"1,012","11.36","7,405","1.55",0,0,169,NA
"170",2020-10-16,"067920","이글루시큐리티","-",4700,"211","22.27","4,392","1.07",140,2.98,170,NA
"171",2020-10-16,"067990","도이치모터스","-",5600,"2,073","2.7","8,847","0.63",0,0,171,NA
"172",2020-10-16,"068940","아이씨케이","-",4540,"-","-","475","9.56",0,0,172,NA
"173",2020-10-16,"069510","에스텍","-",9290,"2,045","4.54","14,115","0.66",600,6.46,173,NA
"174",2020-10-16,"071200","인피니트헬스케어","-",6850,"297","23.06","3,469","1.97",0,0,174,NA
"175",2020-10-16,"071460","위니아딤채","-",2435,"131","18.59","2,393","1.02",0,0,175,NA
"176",2020-10-16,"072020","중앙백신","-",17650,"186","94.89","8,671","2.04",50,0.28,176,NA
"177",2020-10-16,"072950","빛샘전자","-",5370,"333","16.13","9,323","0.58",100,1.86,177,NA
"178",2020-10-16,"073190","듀오백","-",2840,"-","-","2,289","1.24",0,0,178,NA
"179",2020-10-16,"073560","우리손에프앤지","-",2030,"61","33.28","2,645","0.77",25,1.23,179,NA
"180",2020-10-16,"074600","원익QnC","-",15250,"99","154.04","8,103","1.88",0,0,180,NA
"181",2020-10-16,"075130","플랜티넷","-",5310,"303","17.52","7,467","0.71",250,4.71,181,NA
"182",2020-10-16,"075970","동국알앤에스","-",2880,"140","20.57","4,066","0.71",80,2.78,182,NA
"183",2020-10-16,"077360","덕산하이메탈","-",7290,"563","12.95","8,904","0.82",0,0,183,NA
"184",2020-10-16,"078150","HB테크놀러지","-",1925,"41","46.95","2,025","0.95",20,1.04,184,NA
"185",2020-10-16,"078860","아이오케이","-",2070,"-","-","2,035","1.02",0,0,185,NA
"186",2020-10-16,"079000","와토스코리아","-",5420,"437","12.4","10,456","0.52",200,3.69,186,NA
"187",2020-10-16,"079650","서산","-",2395,"-","-","3,526","0.68",0,0,187,NA
"188",2020-10-16,"079960","동양이엔피","-",17100,"3,154","5.42","27,524","0.62",300,1.75,188,NA
"189",2020-10-16,"080010","이상네트웍스","-",6180,"1,061","5.82","10,650","0.58",100,1.62,189,NA
"190",2020-10-16,"080470","성창오토텍","-",9570,"-","-","5,186","1.85",30,0.31,190,NA
"191",2020-10-16,"080520","오디텍","-",5320,"192","27.71","10,005","0.53",100,1.88,191,NA
"192",2020-10-16,"081580","성우전자","-",2695,"-","-","6,595","0.41",0,0,192,NA
"193",2020-10-16,"083450","GST","-",16400,"2,010","8.16","10,657","1.54",200,1.22,193,NA
"194",2020-10-16,"083650","비에이치아이","-",2225,"-","-","2,685","0.83",0,0,194,NA
"195",2020-10-16,"085810","알티캐스트","-",2455,"-","-","2,931","0.84",0,0,195,NA
"196",2020-10-16,"085910","네오티스","-",3755,"135","27.81","3,880","0.97",250,6.66,196,NA
"197",2020-10-16,"086060","진바이오텍","-",5740,"98","58.57","5,450","1.05",30,0.52,197,NA
"198",2020-10-16,"086960","한컴MDS","-",13350,"987","13.53","12,715","1.05",0,0,198,NA
"199",2020-10-16,"086980","쇼박스","-",2770,"52","53.27","2,247","1.23",50,1.81,199,NA
"200",2020-10-16,"087010","펩트론","-",14550,"-","-","1,833","7.94",0,0,200,NA
"201",2020-10-16,"089010","켐트로닉스","-",20000,"1,235","16.19","6,618","3.02",300,1.5,201,NA
"202",2020-10-16,"089030","테크윙","-",18400,"584","31.51","9,076","2.03",230,1.25,202,NA
"203",2020-10-16,"089140","넥스턴","-",8900,"539","16.51","8,455","1.05",100,1.12,203,NA
"204",2020-10-16,"089790","제이티","-",7310,"380","19.24","2,588","2.82",0,0,204,NA
"205",2020-10-16,"089850","유비벨록스","-",8850,"851","10.4","10,348","0.86",0,0,205,NA
"206",2020-10-16,"090150","광진윈텍","-",2880,"223","12.91","4,315","0.67",100,3.47,206,NA
"207",2020-10-16,"090470","제이스텍","-",7670,"108","71.02","8,904","0.86",50,0.65,207,NA
"208",2020-10-16,"091120","이엠텍","-",11550,"24","481.25","11,185","1.03",0,0,208,NA
"209",2020-10-16,"091340","S&K폴리텍","-",4950,"1,368","3.62","7,586","0.65",0,0,209,NA
"210",2020-10-16,"092130","이크레더블","-",24150,"1,134","21.3","4,460","5.41",740,3.06,210,NA
"211",2020-10-16,"092460","한라IMS","-",5850,"392","14.92","6,891","0.85",100,1.71,211,NA
"212",2020-10-16,"092600","앤씨앤","-",5070,"-","-","2,028","2.5",0,0,212,NA
"213",2020-10-16,"093190","빅솔론","-",4195,"565","7.42","7,613","0.55",190,4.53,213,NA
"214",2020-10-16,"094820","일진파워","-",5230,"800","6.54","6,367","0.82",300,5.74,214,NA
"215",2020-10-16,"094850","참좋은여행","-",5460,"1,714","3.19","6,907","0.79",170,3.11,215,NA
"216",2020-10-16,"094970","제이엠티","-",2625,"57","46.05","3,300","0.8",50,1.9,216,NA
"217",2020-10-16,"095340","ISC","-",20500,"311","65.92","12,011","1.71",50,0.24,217,NA
"218",2020-10-16,"095660","네오위즈","-",22700,"1,133","20.04","14,741","1.54",0,0,218,NA
"219",2020-10-16,"096870","엘디티","-",2475,"-","-","1,480","1.67",0,0,219,NA
"220",2020-10-16,"098120","마이크로컨텍솔","-",5890,"106","55.57","3,942","1.49",0,0,220,NA
"221",2020-10-16,"098660","에스티오","-",2065,"270","7.65","2,810","0.73",120,5.81,221,NA
"222",2020-10-16,"099190","아이센스","-",28550,"1,723","16.57","14,454","1.98",200,0.7,222,NA
"223",2020-10-16,"100030","모바일리더","-",15400,"-","-","9,486","1.62",0,0,223,NA
"224",2020-10-16,"100120","뷰웍스","-",30700,"2,457","12.49","16,139","1.9",400,1.3,224,NA
"225",2020-10-16,"101160","월덱스","-",14350,"1,180","12.16","5,433","2.64",50,0.35,225,NA
"226",2020-10-16,"101170","우림기계","-",5220,"-","-","6,428","0.81",0,0,226,NA
"227",2020-10-16,"101240","씨큐브","-",7260,"659","11.02","5,336","1.36",170,2.34,227,NA
"228",2020-10-16,"101330","모베이스","-",3105,"1,942","1.6","11,222","0.28",0,0,228,NA
"229",2020-10-16,"101390","아이엠","-",778,"-","-","770","1.01",0,0,229,NA
"230",2020-10-16,"101670","코리아에스이","-",1205,"-","-","1,600","0.75",0,0,230,NA
"231",2020-10-16,"101930","인화정공","-",3915,"-","-","14,229","0.28",0,0,231,NA
"232",2020-10-16,"102120","어보브반도체","-",10150,"815","12.45","5,175","1.96",200,1.97,232,NA
"233",2020-10-16,"102210","해덕파워웨이","관리종목",1100,"-","-","1,517","0.73",0,0,233,NA
"234",2020-10-16,"104200","NHN벅스","-",5620,"341","16.48","4,560","1.23",0,0,234,NA
"235",2020-10-16,"104620","노랑풍선","-",18700,"-","-","11,795","1.59",200,1.07,235,NA
"236",2020-10-16,"108490","로보티즈","-",13300,"221","60.18","5,454","2.44",0,0,236,NA
"237",2020-10-16,"109080","옵티시스","-",8140,"579","14.06","6,727","1.21",50,0.61,237,NA
"238",2020-10-16,"109740","디에스케이","-",8450,"308","27.44","5,531","1.53",0,0,238,NA
"239",2020-10-16,"109860","동일금속","-",10550,"2,420","4.36","17,743","0.59",280,2.65,239,NA
"240",2020-10-16,"110020","전진바이오팜","-",16000,"-","-","604","26.49",0,0,240,NA
"241",2020-10-16,"110790","크리스에프앤씨","-",25000,"2,140","11.68","18,523","1.35",400,1.6,241,NA
"242",2020-10-16,"110990","디아이티","-",6370,"713","8.93","9,120","0.7",200,3.14,242,NA
"243",2020-10-16,"114450","KPX생명과학","-",6650,"80","83.12","4,024","1.65",0,0,243,NA
"244",2020-10-16,"114630","우노앤컴퍼니","-",5000,"-","-","4,911","1.02",100,2,244,NA
"245",2020-10-16,"115180","큐리언트","-",33250,"-","-","1,786","18.62",0,0,245,NA
"246",2020-10-16,"115310","인포바인","-",17900,"4,134","4.33","26,580","0.67",900,5.03,246,NA
"247",2020-10-16,"115500","케이씨에스","-",5090,"236","21.57","1,724","2.95",220,4.32,247,NA
"248",2020-10-16,"119850","지엔씨에너지","-",6290,"422","14.91","4,944","1.27",50,0.79,248,NA
"249",2020-10-16,"121440","골프존뉴딘홀딩스","-",5720,"-","-","10,475","0.55",117,2.05,249,NA
"250",2020-10-16,"121600","나노신소재","-",30700,"541","56.75","8,591","3.57",120,0.39,250,NA
"251",2020-10-16,"123330","제닉","-",3805,"-","-","3,877","0.98",0,0,251,NA
"252",2020-10-16,"123410","코리아에프티","-",3245,"206","15.75","4,293","0.76",60,1.85,252,NA
"253",2020-10-16,"123420","선데이토즈","-",20850,"318","65.57","14,294","1.46",0,0,253,NA
"254",2020-10-16,"123570","이엠넷","-",4510,"322","14.01","2,617","1.72",30,0.67,254,NA
"255",2020-10-16,"123860","아나패스","-",21100,"-","-","5,451","3.87",100,0.47,255,NA
"256",2020-10-16,"124560","태웅로직스","-",3960,"664","5.96","2,337","1.69",50,1.26,256,NA
"257",2020-10-16,"125210","아모그린텍","-",12300,"109","112.84","2,317","5.31",0,0,257,NA
"258",2020-10-16,"126600","코프라","-",4130,"424","9.74","5,167","0.8",70,1.69,258,NA
"259",2020-10-16,"126640","화신정공","-",1295,"99","13.08","2,217","0.58",30,2.32,259,NA
"260",2020-10-16,"126700","하이비젼시스템","-",12000,"607","19.77","8,297","1.45",50,0.42,260,NA
"261",2020-10-16,"127710","아시아경제","-",2025,"146","13.87","4,044","0.5",0,0,261,NA
"262",2020-10-16,"128540","에코캡","-",2955,"76","38.88","4,556","0.65",0,0,262,NA
"263",2020-10-16,"130580","나이스디앤비","-",10000,"686","14.58","3,540","2.82",175,1.75,263,NA
"264",2020-10-16,"131180","딜리","-",1700,"74","22.97","1,964","0.87",40,2.35,264,NA
"265",2020-10-16,"131290","티에스이","-",32700,"1,583","20.66","14,862","2.2",200,0.61,265,NA
"266",2020-10-16,"131760","파인텍","-",1630,"3","543.33","1,459","1.12",0,0,266,NA
"267",2020-10-16,"138070","신진에스엠","-",4835,"275","17.58","7,926","0.61",70,1.45,267,NA
"268",2020-10-16,"138580","비즈니스온","-",14300,"462","30.95","3,905","3.66",285,1.99,268,NA
"269",2020-10-16,"138610","나이벡","-",26400,"-","-","2,767","9.54",0,0,269,NA
"270",2020-10-16,"140070","서플러스글로벌","-",3135,"44","71.25","3,336","0.94",0,0,270,NA
"271",2020-10-16,"140520","대창스틸","-",2280,"-","-","4,685","0.49",100,4.39,271,NA
