"","종목코드","종목명","시장구분","산업분류","현재가.종가.","전일대비","시가총액.원.","일자","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물..일련번호","총카운트"
"265","115450","지트리비앤티","코스닥","유통",27800,1650,728501835600,"2020-10-16","-",27800,"-","-","2,556","10.88",0,0,1285,NA
"266","092190","서울바이오시스","코스닥","IT H/W",19050,-350,728160589650,"2020-10-16","-",19050,"147","129.59","4,404","4.33",38,0.2,459,NA
"267","105630","한세실업","코스피","섬유의복",18150,250,7.26e+11,"2020-10-16","-",18150,"-","-","9,945","1.83",500,2.75,2284,NA
"268","041510","에스엠","코스닥","오락·문화",30850,-1000,723432530850,"2020-10-16","-",30850,"-","-","18,944","1.63",0,0,1211,NA
"269","083790","크리스탈지노믹스","코스닥","기타서비스",15800,-350,721320465200,"2020-10-16","-",15800,"-","-","3,538","4.47",0,0,1380,NA
"270","005440","현대그린푸드","코스피","유통업",7380,-20,721059077160,"2020-10-16","-",7380,"628","11.75","17,576","0.42",210,2.85,2155,NA
"271","092040","아미코젠","코스닥","음식료·담배",37400,-1150,718622674000,"2020-10-16","-",37400,"5","7,480","6,354","5.89",0,0,1273,NA
"272","033660","아주캐피탈","코스피","금융업",12450,-250,716446330500,"2020-10-16","-",12450,"1,784","6.98","14,145","0.88",650,5.22,1968,NA
"273","020000","한섬","코스피","섬유의복",28900,350,7.11807e+11,"2020-10-16","-",28900,"3,881","7.45","42,450","0.68",450,1.56,2215,NA
"274","005850","에스엘","코스피","운수장비",14750,-300,710998335750,"2020-10-16","-",14750,"1,979","7.45","28,224","0.52",400,2.71,1864,NA
"275","103140","풍산","코스피","철강금속",25350,500,710415447300,"2020-10-16","-",25350,"629","40.3","49,306","0.51",400,1.58,2282,NA
"276","192400","쿠쿠홀딩스","코스피","금융업",99600,-300,708398725200,"2020-10-16","-",99600,"12,779","7.79","94,719","1.05",3000,3.01,2300,NA
"277","003850","보령제약","코스피","의약품",14750,-600,7.02395e+11,"2020-10-16","-",14750,"766","19.26","6,402","2.3",100,0.68,2142,NA
"278","000640","동아쏘시오홀딩스","코스피","금융업",114000,-3000,699765858000,"2020-10-16","-",114000,"3,220","35.4","121,392","0.94",1000,0.88,2113,NA
"279","018000","유니슨","코스닥","기계·장비",5890,-730,695972778180,"2020-10-16","-",5890,"-","-","731","8.06",0,0,1395,NA
"280","005300","롯데칠성","코스피","음식료품",86900,0,694631674000,"2020-10-16","-",86900,"-","-","138,233","0.63",2700,3.11,2153,NA
"281","033640","네패스","코스닥","IT H/W",30000,200,691776060000,"2020-10-16","-",30000,"1,349","22.24","9,053","3.31",270,0.9,1194,NA
"282","067160","아프리카TV","코스닥","IT S/W & SVC",60100,1300,690835496700,"2020-10-16","-",60100,"3,164","18.99","10,346","5.81",550,0.92,1244,NA
"283","034310","NICE","코스피","서비스업",18200,50,689457860000,"2020-10-16","-",18200,"771","23.61","18,100","1.01",230,1.26,1969,NA
"284","097230","한진중공업","코스피","건설업",8250,-60,687012818250,"2020-10-16","-",8250,"5,185","1.59","2,943","2.8",0,0,1764,NA
"285","009450","경동나비엔","코스피","전기전자",53900,-900,686659589000,"2020-10-16","-",53900,"2,207","24.42","23,612","2.28",300,0.56,1960,NA
"286","003620","쌍용차","코스피","운수장비",4500,315,674280009000,"2020-10-16","관리종목",4500,"-","-","2,690","1.67",0,0,1913,NA
"287","001060","JW중외제약","코스피","의약품",31950,-1000,668395725300,"2020-10-16","-",31950,"-","-","10,345","3.09",325,1.02,2121,NA
"288","079550","LIG넥스원","코스피","기계",29950,-450,6.589e+11,"2020-10-16","-",29950,"145","206.55","28,817","1.04",600,2,2269,NA
"289","085620","미래에셋생명","코스피","금융업",3710,-60,656730061190,"2020-10-16","-",3710,"682","5.44","11,792","0.31",170,4.58,1644,NA
"290","049770","동원F&B","코스피","음식료품",169500,1000,654121518000,"2020-10-16","-",169500,"17,015","9.96","176,519","0.96",3000,1.77,2249,NA
"291","008490","서흥","코스피","화학",56300,400,651341061900,"2020-10-16","-",56300,"2,853","19.73","25,552","2.2",400,0.71,1533,NA
"292","204270","제이앤티씨","코스닥","일반전기전자",11250,-300,650795242500,"2020-10-16","-",11250,"1,691","6.65","5,638","2",0,0,394,NA
"293","214370","케어젠","코스닥","제약",60000,-400,6.4458e+11,"2020-10-16","-",60000,"2,814","21.32","20,200","2.97",2800,4.67,1311,NA
"294","298020","효성티앤씨","코스피","화학",148000,-4000,640496936000,"2020-10-16","-",148000,"21,569","6.86","112,984","1.31",2000,1.35,1993,NA
"295","280360","롯데제과","코스피","음식료품",99600,100,639105013200,"2020-10-16","-",99600,"5,936","16.78","188,501","0.53",1300,1.31,1682,NA
"296","078130","국일제지","코스닥","종이·목재",5050,-80,638059339200,"2020-10-16","-",5050,"-","-","357","14.15",0,0,1252,NA
"297","017810","풀무원","코스피","음식료품",16700,-300,636613001300,"2020-10-16","-",16700,"56","298.21","9,425","1.77",102,0.61,1905,NA
"298","053800","안랩","코스닥","IT S/W & SVC",63500,500,635879792500,"2020-10-16","-",63500,"2,204","28.81","20,539","3.09",900,1.42,1229,NA
"299","052690","한전기술","코스피","서비스업",16450,250,6.28719e+11,"2020-10-16","-",16450,"694","23.7","12,878","1.28",310,1.88,2253,NA
"300","089980","상아프론테크","코스닥","화학",39850,-1450,626631885250,"2020-10-16","-",39850,"842","47.33","9,392","4.24",160,0.4,758,NA
"301","001230","동국제강","코스피","철강금속",6550,-210,625084427350,"2020-10-16","-",6550,"-","-","19,382","0.34",0,0,2123,NA
