"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"178","083420","그린케미칼","KOSPI","화학",13900,150,1.09,3.336e+11
"179","014530","극동유화","KOSPI","화학",5600,-280,-4.76,195268752000
"180","014280","금강공업","KOSPI","철강금속",6460,720,12.54,187478973980
"181","014285","금강공업우","KOSPI","철강금속",13300,900,7.26,7845337500
"182","008870","금비","KOSPI","비금속광물",69800,300,0.43,6.98e+10
"183","001570","금양","KOSPI","화학",4665,-5,-0.11,223057497480
"184","002990","금호산업","KOSPI","건설업",9890,250,2.59,362309508360
"185","002995","금호산업우","KOSPI","건설업",32400,400,1.25,9469418400
"186","011780","금호석유","KOSPI","화학",250000,4000,1.63,7616922750000
"187","011785","금호석유우","KOSPI","화학",105000,2500,2.44,317466030000
"188","214330","금호에이치티","KOSPI","운수장비",2240,0,0,280577160640
"189","001210","금호전기","KOSPI","전기전자",2615,-5,-0.19,31332459300
"190","073240","금호타이어","KOSPI","화학",3760,-35,-0.92,1080098679120
"191","092440","기신정기","KOSPI","기계",5580,-180,-3.13,1.62936e+11
"192","000270","기아","KOSPI","운수장비",87100,1800,2.11,35307147523700
"193","024110","기업은행","KOSPI","은행",9160,-10,-0.11,6766165537600
"194","013700","까뮤이앤씨","KOSPI","건설업",2680,-20,-0.74,121008110400
"195","004540","깨끗한나라","KOSPI","종이목재",7600,-420,-5.24,283029266800
"196","004545","깨끗한나라우","KOSPI","종이목재",34850,-2150,-5.81,12760676000
"197","001260","남광토건","KOSPI","건설업",15000,200,1.35,147433515000
"198","008350","남선알미늄","KOSPI","철강금속",3750,-60,-1.57,413171587500
"199","008355","남선알미우","KOSPI","철강금속",32750,-550,-1.65,10083397500
"200","004270","남성","KOSPI","유통업",4135,-145,-3.39,149737281600
"201","003920","남양유업","KOSPI","음식료품",306000,500,0.16,2.2032e+11
"202","003925","남양유업우","KOSPI","음식료품",165000,0,0,27499230000
"203","025860","남해화학","KOSPI","화학",8990,-80,-0.88,446612798570
"204","005720","넥센","KOSPI","화학",4830,-65,-1.33,258617408910
"205","005725","넥센우","KOSPI","화학",3080,40,1.32,11089848000
"206","002350","넥센타이어","KOSPI","화학",7680,20,0.26,750089295360
"207","002355","넥센타이어1우B","KOSPI","화학",3035,20,0.66,19727500000
"208","003580","넥스트사이언스","KOSPI","광업",7340,-770,-9.49,246328799880
"209","251270","넷마블","KOSPI","서비스업",128000,-500,-0.39,11000349952000
"210","090350","노루페인트","KOSPI","화학",13000,-900,-6.47,2.6e+11
"211","090355","노루페인트우","KOSPI","화학",15400,-1350,-8.06,7132140400
"212","000320","노루홀딩스","KOSPI","기타금융",13750,-400,-2.83,182753326250
"213","000325","노루홀딩스우","KOSPI","기타금융",17850,-750,-4.03,3306712500
"214","006280","녹십자","KOSPI","의약품",327000,-500,-0.15,3821497926000
"215","005250","녹십자홀딩스","KOSPI","서비스업",33100,150,0.46,1556633751000
"216","005257","녹십자홀딩스2우","KOSPI","서비스업",86200,-2300,-2.6,72924338000
"217","004370","농심","KOSPI","음식료품",285500,1500,0.53,1736594291000
"218","072710","농심홀딩스","KOSPI","기타금융",77500,-100,-0.13,359428725000
"219","058730","다스코","KOSPI","기계",5050,-10,-0.2,7.777e+10
"220","023590","다우기술","KOSPI","서비스업",28000,0,0,1256265276000
"221","019680","대교","KOSPI","서비스업",4415,-60,-1.34,373963082750
"222","019685","대교우B","KOSPI","서비스업",2825,-5,-0.18,54881246750
"223","006370","대구백화점","KOSPI","유통업",10600,100,0.95,114709076600
"224","008060","대덕","KOSPI","기타금융",7100,20,0.28,240620065000
"225","00806K","대덕1우","KOSPI","기타금융",8800,150,1.73,10668741600
"226","353200","대덕전자","KOSPI","전기전자",14200,-150,-1.05,701720335000
"227","35320K","대덕전자1우","KOSPI","전기전자",10600,760,7.72,22212501400
"228","000490","대동공업","KOSPI","기계",11000,200,1.85,261010310000
"229","008110","대동전자","KOSPI","전기전자",6570,-200,-2.95,68922236790
