"","DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"result","S","S","S","S","S","S","S","S","S","S","S"
"measureResultList.144"," ","6","경기도 구리시 검배로 200 (수택동)","19","2018","구리시청(하수슬러지소각시설)","131","150129","497"," ","1374"
"measureResultList.145"," ","0","경기도 화성시 우정읍 궁평항로 113-56"," ","2018","㈜백철금속"," ","150197"," "," "," "
"measureResultList.146"," "," ","경기도 화성시 동탄기흥로 166"," ","2018","한국지역난방공사 동탄지사"," ","150771"," "," ","306179"
"measureResultList.147"," ","58","경기도 화성시 양감면 사격장길 88-45","94","2018","㈜알엠 화성공장","16","150769","1433"," ","3592"
"measureResultList.148"," ","1381","경기도 평택시 포승읍 평택항로156번길 94"," ","2018","포승그린파워㈜","17385","150776","20361"," ","43442"
"measureResultList.149"," ","124","경기도 양주시 남면 운하로 66-14","320","2018","㈜애니테크 상수지점","1","150764","1535"," ","13920"
"measureResultList.150"," "," ","경기도 평택시 고덕면 삼성로 114"," ","2018","삼성전자㈜평택사업장","704","150768"," "," ","14060"
"measureResultList.151"," ","0","경기도 연천군 청산면 초대로 246"," ","2018","씨에스에너지㈜(구 굿히트)","0","150765","0"," ","0"
"measureResultList.152"," ","175","경기도 안산시 단원구 번영2로 131","863","2018","㈜한샘4공장","308","150779","3108"," ","7446"
"year","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018"
"brtcCode","8","8","8","8","8","8","8","8","8","8","8"
