time,depth,Total coliform,E.coli,temp
211,4.198166667,1,0.740362689,18.875
212,4.0735,2.402261382,2.165837625,18.9
213,3.797666667,2.275311355,2.06069784,18.84166667
214,3.489666667,2.039414119,1.556302501,18.875
215,3.286083333,2.254064453,1.86923172,18.96666667
216,3.14275,2.043362278,1.40654018,19
217,3.20075,2.118925753,1.877946952,18.78333333
218,3.473583333,2.200029267,2.037426498,17.73333333
219,3.8985,2.170261715,1.903089987,16.825
220,4.356833333,1.872156273,1.716003344,16.60833333
221,4.666166667,1.716003344,1.618048097,16.28333333
222,4.685583333,2.559308011,2.343408594,16.18333333
223,4.396916667,2.335457901,1.926856709,16.45
224,3.958,2.61436984,2.478566496,16.7
225,3.50725,2.174641193,1.707570176,17.16666667
226,3.106083333,2.397940009,2.017033339,18.25
227,2.779916667,2.854002233,2.270678836,19.375
228,2.513583333,3.012415375,1.484299839,20.71666667
229,2.310666667,3.744253856,1.866287339,22.05
230,2.164416667,3.291035675,1.995635195,23.11666667
231,2.161416667,3.125806458,2.086359831,23.75833333
232,2.563833333,2.427323786,0.740362689,22.03333333
233,3.238833333,2.317018101,1.301029996,18.775
234,3.833416667,1.911157609,0,18.45
235,4.239916667,1.491361694,1.301029996,18.325
236,4.386083333,0.740362689,0.740362689,18.23333333
237,4.1605,2.373831145,1.968482949,18.2
238,3.7975,1.866287339,1.301029996,18.125
239,3.428166667,2.241795431,1.921686475,18.2
240,3.101666667,2.243038049,1.484299839,18.275
241,2.859,2.446381812,1.802773725,18.45833333
242,2.748583333,2.379305518,1.795880017,18.625
243,2.836333333,2.319106059,1.716003344,18.38333333
244,3.233916667,2.307496038,2.088136089,16.10833333
245,3.72,1.939519253,1.311753861,15.20833333
246,4.122916667,1.550228353,1.301029996,15.50833333
247,4.325166667,1.311753861,1.322219295,15.35833333
248,4.24225,1.832508913,1.550228353,15.375
249,3.973083333,1.903089987,1.484299839,15.6
250,3.597416667,1.62324929,0.740362689,16.08333333
251,3.200666667,3.423327809,1.806179974,17.18333333
252,2.848916667,3.372727941,2.174641193,18.45833333
253,2.565,2.953276337,2.01494035,20.28333333
254,2.349333333,2.965201701,1.970811611,22.10833333
255,2.202166667,2.695481676,1.799340549,23.6
256,2.31725,2.61436984,1.667452953,24.15833333
257,2.909916667,1.491361694,0.740362689,20.26666667
258,3.63325,1,0.740362689,18.55
259,4.260833333,1.301029996,0.740362689,18.31666667
260,4.646083333,1.021189299,0,18.21666667
261,4.673916667,2.254064453,2.068185862,18.15
262,4.363083333,2.350248018,2.039414119,18.175
263,3.963333333,2.225309282,2.075546961,18.1
264,3.54775,2.247973266,1.875061263,18.1
265,3.17225,2.604226053,2.012837225,18.24166667
266,2.872416667,2.399673721,1.556302501,18.54166667
267,2.677416667,2.862429556,1.672097858,19.09166667
268,2.7015,3.133219457,2.017033339,19.2
269,3.024833333,2.216165902,1.875061263,17.43333333
270,3.60825,1.322219295,0.740362689,15.90833333
271,4.088416667,1.301029996,0.740362689,15.65833333
272,4.3305,1.311753861,1.021189299,15.58333333
273,4.254,1.963787827,1.838849091,15.76666667
274,3.963,1.982271233,1.716003344,16.2
275,3.59175,1.799340549,1.562292864,16.86666667
276,3.220416667,1.991226076,1.311753861,17.85
