"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"252","024890","대원화성","KOSPI","화학",1670,-60,-3.47,68886083840
"253","002880","대유에이텍","KOSPI","운수장비",1060,-30,-2.75,113330946220
"254","000300","대유플러스","KOSPI","전기전자",795,-36,-4.33,93415062285
"255","012800","대창","KOSPI","철강금속",1475,-70,-4.53,134432236025
"256","015230","대창단조","KOSPI","운수장비",7090,-220,-3.01,101288555350
"257","001070","대한방직","KOSPI","섬유의복",39600,-50,-0.13,2.0988e+11
"258","006650","대한유화","KOSPI","화학",284000,-14500,-4.86,1.846e+12
"259","001440","대한전선","KOSPI","전기전자",1105,-80,-6.75,946402674945
"260","084010","대한제강","KOSPI","철강금속",10700,50,0.47,263720053800
"261","001790","대한제당","KOSPI","음식료품",19900,-550,-2.69,178496194200
"262","001795","대한제당우","KOSPI","음식료품",14200,-550,-3.73,9205519200
"263","001130","대한제분","KOSPI","음식료품",141500,-5000,-3.41,2.39135e+11
"264","003490","대한항공","KOSPI","운수창고업",28700,-950,-3.2,4999818763100
"265","003495","대한항공우","KOSPI","운수창고업",42400,-200,-0.47,47097665600
"266","005880","대한해운","KOSPI","운수창고업",3385,105,3.2,826857639650
"267","003830","대한화섬","KOSPI","화학",110500,-1500,-1.34,1.46744e+11
"268","016090","대현","KOSPI","섬유의복",1955,-85,-4.17,86571916050
"269","069460","대호에이엘","KOSPI","철강금속",2100,-110,-4.98,56983161900
"270","192080","더블유게임즈","KOSPI","서비스업",62500,1200,1.96,1148406375000
"271","012510","더존비즈온","KOSPI","서비스업",99900,-100,-0.1,3009991495500
"272","004830","덕성","KOSPI","화학",6510,-240,-3.56,102076800000
"273","004835","덕성우","KOSPI","화학",10950,-550,-4.78,15242400000
"274","024900","덕양산업","KOSPI","운수장비",3250,-180,-5.25,105836185000
"275","145720","덴티움","KOSPI","의료정밀",46200,-2350,-4.84,511379946000
"276","002150","도화엔지니어링","KOSPI","서비스업",8010,-100,-1.23,270097200000
"277","001230","동국제강","KOSPI","철강금속",7750,-100,-1.27,739603711750
"278","023450","동남합성","KOSPI","화학",45000,500,1.12,1.6245e+11
"279","004140","동방","KOSPI","운수창고업",4760,105,2.26,188717140080
"280","007590","동방아그로","KOSPI","화학",6420,-60,-0.93,87424844340
"281","005960","동부건설","KOSPI","건설업",12500,-400,-3.1,283775300000
"282","005965","동부건설우","KOSPI","건설업",22800,-400,-1.72,5146689600
"283","026960","동서","KOSPI","유통업",30850,850,2.83,3.075745e+12
"284","002210","동성제약","KOSPI","의약품",13000,-700,-5.11,339312610000
"285","102260","동성코퍼레이션","KOSPI","서비스업",4890,-35,-0.71,215125828680
"286","005190","동성화학","KOSPI","화학",15950,-200,-1.24,85102245800
"287","000640","동아쏘시오홀딩스","KOSPI","기타금융",112500,-6000,-5.06,692476425000
"288","170900","동아에스티","KOSPI","의약품",82500,-2300,-2.71,696619110000
"289","028100","동아지질","KOSPI","건설업",16050,-850,-5.03,1.84575e+11
"290","282690","동아타이어","KOSPI","화학",9740,-80,-0.81,133759566100
"291","001520","동양","KOSPI","비금속광물",1200,-40,-3.23,286420875600
"292","001527","동양2우B","KOSPI","비금속광물",11350,-150,-1.3,3502258150
"293","001529","동양3우B","KOSPI","비금속광물",29050,-150,-0.51,2606424100
"294","084670","동양고속","KOSPI","운수창고업",23450,-450,-1.88,67901093050
"295","002900","동양물산","KOSPI","기계",1465,-65,-4.25,200525632725
"296","082640","동양생명","KOSPI","보험",3665,-320,-8.03,591379214025
"297","001525","동양우","KOSPI","비금속광물",7180,260,3.76,4435308580
"298","008970","동양철관","KOSPI","철강금속",1180,-20,-1.67,140284642200
"299","092780","동양피스톤","KOSPI","운수장비",6380,-870,-12,84014774800
"300","049770","동원F&B","KOSPI","음식료품",178000,-4000,-2.2,686924072000
"301","018500","동원금속","KOSPI","운수장비",1155,-35,-2.94,54001947615
