index,종목코드,종목명,,,,,,
111,42660,대우조선해양,,,,,,
112,5830,DB손해보험,,,,,,
113,81660,휠라홀딩스,,,,,,
114,307950,현대오토에버,,,,,,
115,11210,현대위아,,,,,,
116,47040,대우건설,,,,,,
117,145020,휴젤,,,,,,
118,28670,팬오션,,,,,,
119,28050,삼성엔지니어링,,,,,,
120,880,한화,,,,,,
121,8560,메리츠증권,,,,,,
122,268600,셀리버리,,,,,,
123,240810,원익IPS,,,,,,
124,10060,OCI,,,,,,
125,58470,리노공업,,,,,,
126,95700,제넥신,,,,,,
127,88350,한화생명,,,,,,
128,4170,신세계,,,,,,
129,80,하이트진로,,,,,,
130,9240,한샘,,,,,,
131,30000,제일기획,,,,,,
132,14680,한솔케미칼,,,,,,
133,375500,DL이앤씨,,,,,,
134,64350,현대로템,,,,,,
135,185750,종근당,,,,,,
136,357780,솔브레인,,,,,,
137,6260,LS,,,,,,
138,5250,녹십자홀딩스,,,,,,
139,66970,엘앤에프,,,,,,
140,7310,오뚜기,,,,,,
141,78340,컴투스,,,,,,
142,12450,한화에어로스페이스,,,,,,
143,47050,포스코인터내셔널,,,,,,
144,323990,박셀바이오,,,,,,
145,60,메리츠화재,,,,,,
146,6650,대한유화,,,,,,
147,10120,LS ELECTRIC,,,,,,
148,69960,현대백화점,,,,,,
149,278280,천보,,,,,,
150,294870,HDC현대산업개발,,,,,,
151,272210,한화시스템,,,,,,
152,138930,BNK금융지주,,,,,,
153,1450,현대해상,,,,,,
154,2380,KCC,,,,,,
155,42670,두산인프라코어,,,,,,
156,69620,대웅제약,,,,,,
157,17800,현대엘리베이,,,,,,
158,10620,현대미포조선,,,,,,
159,4370,농심,,,,,,
160,9420,한올바이오파마,,,,,,
161,64760,티씨케이,,,,,,
162,10780,아이에스동서,,,,,,
163,237690,에스티팜,,,,,,
164,7700,F&F,,,,,,
165,235980,메드팩토,,,,,,
166,111770,영원무역,,,,,,
167,4800,효성,,,,,,
168,5290,동진쎄미켐,,,,,,
169,240,한국앤컴퍼니,,,,,,
170,98460,고영,,,,,,
171,13890,지누스,,,,,,
172,3000,부광약품,,,,,,
173,200130,콜마비앤에이치,,,,,,
174,9900,명신산업,,,,,,
175,141080,레고켐바이오,,,,,,
176,336370,솔루스첨단소재,,,,,,
177,34230,파라다이스,,,,,,
178,4490,세방전지,,,,,,
179,4000,롯데정밀화학,,,,,,
180,86450,동국제약,,,,,,
181,250,삼천당제약,,,,,,
182,181710,NHN,,,,,,
183,56190,에스에프에이,,,,,,
184,144510,녹십자랩셀,,,,,,
185,60250,NHN한국사이버결제,,,,,,
186,298020,효성티앤씨,,,,,,
187,30190,NICE평가정보,,,,,,
188,86520,에코프로,,,,,,
189,1740,SK네트웍스,,,,,,
190,214320,이노션,,,,,,
191,138040,메리츠금융지주,,,,,,
192,69080,웹젠,,,,,,
193,3520,영진약품,,,,,,
194,31430,신세계인터내셔날,,,,,,
195,39030,이오테크닉스,,,,,,
196,51600,한전KPS,,,,,,
197,6120,SK디스커버리,,,,,,
198,25900,동화기업,,,,,,
199,23590,다우기술,,,,,,
200,140410,메지온,,,,,,
201,5850,에스엘,,,,,,
202,84850,아이티엠반도체,,,,,,
203,161890,한국콜마,,,,,,
204,22100,포스코 ICT,,,,,,
205,178920,PI첨단소재,,,,,,
206,35900,JYP Ent.,,,,,,
207,14820,동원시스템즈,,,,,,
208,39200,오스코텍,,,,,,
209,192080,더블유게임즈,,,,,,
210,46890,서울반도체,,,,,,
211,36540,SFA반도체,,,,,,
212,298380,에이비엘바이오,,,,,,
213,3850,보령제약,,,,,,
214,108320,실리콘웍스,,,,,,
215,93370,후성,,,,,,
216,120110,코오롱인더,,,,,,
217,20560,아시아나항공,,,,,,
218,73240,금호타이어,,,,,,
219,139130,DGB금융지주,,,,,,
220,32350,롯데관광개발,,,,,,
221,16380,KG동부제철,,,,,,
222,64960,S&T모티브,,,,,,
223,67630,에이치엘비생명과학,,,,,,
224,218410,RFHIC,,,,,,
225,5300,롯데칠성,,,,,,
226,192820,코스맥스,,,,,,
227,1120,LG상사,,,,,,
228,175330,JB금융지주,,,,,,
229,214150,클래시스,,,,,,
230,298050,효성첨단소재,,,,,,
231,33640,네패스,,,,,,
232,48260,오스템임플란트,,,,,,
233,42700,한미반도체,,,,,,
234,7570,일양약품,,,,,,
235,85660,차바이오텍,,,,,,
236,670,영풍,,,,,,
237,57050,현대홈쇼핑,,,,,,
238,114090,GKL,,,,,,
239,222080,씨아이에스,,,,,,
240,1440,대한전선,,,,,,
241,79160,CJ CGV,,,,,,
242,210,DL,,,,,,
243,3240,태광산업,,,,,,
244,97520,엠씨넥스,,,,,,
245,71840,롯데하이마트,,,,,,
246,36830,솔브레인홀딩스,,,,,,
247,88800,에이스테크,,,,,,
248,1680,대상,,,,,,
249,82270,젬백스,,,,,,
250,284740,쿠쿠홈시스,,,,,,
251,230360,에코마케팅,,,,,,
252,89980,상아프론테크,,,,,,
253,28150,GS홈쇼핑,,,,,,
254,3690,코리안리,,,,,,
255,18670,SK가스,,,,,,
256,363280,티와이홀딩스,,,,,,
257,6040,동원산업,,,,,,
258,84990,헬릭스미스,,,,,,
259,69260,휴켐스,,,,,,
260,215600,신라젠,,,,,,
261,5690,파미셀,,,,,,
262,84370,유진테크,,,,,,
263,5440,현대그린푸드,,,,,,
264,150,두산,,,,,,
265,1800,오리온홀딩스,,,,,,
266,53030,바이넥스,,,,,,
267,53800,안랩,,,,,,
268,122870,와이지엔터테인먼트,,,,,,
269,5880,대한해운,,,,,,
270,183490,엔지켐생명과학,,,,,,
271,79550,LIG넥스원,,,,,,
272,48410,현대바이오,,,,,,
273,101490,에스앤에스텍,,,,,,
274,39130,하나투어,,,,,,
275,213420,덕산네오룩스,,,,,,
276,103140,풍산,,,,,,
277,33270,유나이티드제약,,,,,,
278,290650,엘앤씨바이오,,,,,,
279,25540,한국단자,,,,,,
280,241590,화승엔터프라이즈,,,,,,
281,210980,SK디앤디,,,,,,
282,1820,삼화콘덴서,,,,,,
283,1880,대림건설,,,,,,
284,20000,한섬,,,,,,
285,89590,제주항공,,,,,,
286,48530,인트론바이오,,,,,,
287,131970,테스나,,,,,,
288,294090,이오플로우,,,,,,
289,214370,케어젠,,,,,,
290,178320,서진시스템,,,,,,
291,70,삼양홀딩스,,,,,,
292,3380,하림지주,,,,,,
293,11000,진원생명과학,,,,,,
294,293780,압타바이오,,,,,,
295,1230,동국제강,,,,,,
296,90460,비에이치,,,,,,
297,263050,유틸렉스,,,,,,
298,86900,메디톡스,,,,,,
299,41960,코미팜,,,,,,
300,272450,진에어,,,,,,
301,300720,한일시멘트,,,,,,
302,41510,에스엠,,,,,,
303,131290,티에스이,,,,,,
304,67160,아프리카TV,,,,,,
305,314130,지놈앤컴퍼니,,,,,,
306,170900,동아에스티,,,,,,
307,81000,일진다이아,,,,,,
308,58820,CMG제약,,,,,,
309,640,동아쏘시오홀딩스,,,,,,
310,192650,드림텍,,,,,,
311,222800,심텍,,,,,,
312,108670,LG하우시스,,,,,,
313,49770,동원F&B,,,,,,
314,192400,쿠쿠홀딩스,,,,,,
315,3230,삼양식품,,,,,,
316,78600,대주전자재료,,,,,,
317,92190,서울바이오시스,,,,,,
318,182400,엔케이맥스,,,,,,
319,280360,롯데제과,,,,,,
320,34310,NICE,,,,,,
321,267270,현대건설기계,,,,,,
322,353200,대덕전자,,,,,,
323,271980,제일약품,,,,,,
324,348150,고바이오랩,,,,,,
325,100090,삼강엠앤티,,,,,,
326,1060,JW중외제약,,,,,,
327,206650,유바이오로직스,,,,,,
328,226950,올릭스,,,,,,
329,27410,BGF,,,,,,
330,25980,아난티,,,,,,
331,36420,제이콘텐트리,,,,,,
332,2320,한진,,,,,,
333,9450,경동나비엔,,,,,,
334,12630,HDC,,,,,,
335,2840,미원상사,,,,,,
336,83790,크리스탈지노믹스,,,,,,
337,52690,한전기술,,,,,,
338,32300,한국파마,,,,,,
339,102710,이엔에프테크놀로지,,,,,,
340,78160,메디포스트,,,,,,
341,85620,미래에셋생명,,,,,,
342,18250,애경산업,,,,,,
343,140860,파크시스템스,,,,,,
344,145990,삼양사,,,,,,
345,112040,위메이드,,,,,,
346,217270,넵튠,,,,,,
347,105630,한세실업,,,,,,
348,17810,풀무원,,,,,,
349,298040,효성중공업,,,,,,
350,226320,잇츠한불,,,,,,
351,33660,우리금융캐피탈,,,,,,
352,3540,대신증권,,,,,,
353,6390,한일현대시멘트,,,,,,
354,92040,아미코젠,,,,,,
355,204270,제이앤티씨,,,,,,
356,115390,락앤락,,,,,,
357,91700,파트론,,,,,,
358,2350,넥센타이어,,,,,,
359,11930,신성이엔지,,,,,,
360,5610,SPC삼립,,,,,,
361,267260,현대일렉트릭,,,,,,
362,214450,파마리서치프로덕트,,,,,,
363,61970,엘비세미콘,,,,,,
364,3470,유안타증권,,,,,,
365,286940,롯데정보통신,,,,,,
366,39840,디오,,,,,,
367,15750,성우하이텍,,,,,,
368,15350,부산가스,,,,,,
369,82640,동양생명,,,,,,
370,31390,녹십자셀,,,,,,
371,151910,나노스,,,,,,
372,97230,한진중공업,,,,,,
373,189300,인텔리안테크,,,,,,
374,195870,해성디에스,,,,,,
375,8490,서흥,,,,,,
376,115450,지트리비앤티,,,,,,
377,344820,케이씨씨글라스,,,,,,
378,95610,테스,,,,,,
379,36810,에프에스티,,,,,,
380,290510,코리아센터,,,,,,
381,3530,한화투자증권,,,,,,
382,267980,매일유업,,,,,,
383,8730,율촌화학,,,,,,
384,5180,빙그레,,,,,,
385,319660,피에스케이,,,,,,
386,137400,피엔티,,,,,,
387,281820,케이씨텍,,,,,,
388,243070,휴온스,,,,,,
389,60150,인선이엔티,,,,,,
390,7390,네이처셀,,,,,,
391,1630,종근당홀딩스,,,,,,
392,330860,네패스아크,,,,,,
393,400,롯데손해보험,,,,,,
394,183300,코미코,,,,,,
395,68240,다원시스,,,,,,
396,78130,국일제지,,,,,,
397,268280,미원에스씨,,,,,,
398,5090,SGC에너지,,,,,,
399,138080,오이솔루션,,,,,,
400,65660,안트로젠,,,,,,
401,53580,웹케시,,,,,,
402,166090,하나머티리얼즈,,,,,,
403,298000,효성화학,,,,,,
404,5070,코스모신소재,,,,,,
405,74600,원익QnC,,,,,,
406,95660,네오위즈,,,,,,
407,131370,알서포트,,,,,,
408,30530,원익홀딩스,,,,,,
409,9970,영원무역홀딩스,,,,,,
410,17960,한국카본,,,,,,
411,50890,쏠리드,,,,,,
412,145720,덴티움,,,,,,
413,32190,다우데이타,,,,,,
414,156100,엘앤케이바이오,,,,,,
415,86390,유니테스트,,,,,,
416,1720,신영증권,,,,,,
417,24720,한국콜마홀딩스,,,,,,
418,35600,KG이니시스,,,,,,
419,1470,삼부토건,,,,,,
420,33290,코웰패션,,,,,,
421,49070,인탑스,,,,,,
422,34830,한국토지신탁,,,,,,
423,23890,한국아트라스비엑스,,,,,,
424,215200,메가스터디교육,,,,,,
425,174900,앱클론,,,,,,
426,18000,유니슨,,,,,,
427,1530,DI동일,,,,,,
428,41140,넥슨지티,,,,,,
429,8350,남선알미늄,,,,,,
430,9290,광동제약,,,,,,
431,1360,삼성제약,,,,,,
432,59090,미코,,,,,,
433,68400,SK렌터카,,,,,,
434,348210,넥스틴,,,,,,
435,263720,디앤씨미디어,,,,,,
436,64550,바이오니아,,,,,,
437,175250,아이큐어,,,,,,
438,244460,올리패스,,,,,,
439,123890,한국자산신탁,,,,,,
440,38880,아이에이,,,,,,
441,9410,태영건설,,,,,,
442,332570,와이팜,,,,,,
443,232140,와이아이케이,,,,,,
444,30610,교보증권,,,,,,
445,27360,아주IB투자,,,,,,
446,60980,한라홀딩스,,,,,,
447,3060,에이프로젠제약,,,,,,
448,36930,주성엔지니어링,,,,,,
449,6730,서부T&D,,,,,,
450,26890,디피씨,,,,,,
451,3070,코오롱글로벌,,,,,,
452,10050,우리종금,,,,,,
453,14830,유니드,,,,,,
454,108230,톱텍,,,,,,
455,78070,유비쿼스홀딩스,,,,,,
456,17390,서울가스,,,,,,
457,16710,대성홀딩스,,,,,,
458,206640,바디텍메드,,,,,,
459,249420,일동제약,,,,,,
460,104830,원익머트리얼즈,,,,,,
461,1430,세아베스틸,,,,,,
462,38500,삼표시멘트,,,,,,
463,13120,동원개발,,,,,,
464,200230,텔콘RF제약,,,,,,
465,71320,지역난방공사,,,,,,
466,32620,유비케어,,,,,,
467,89030,테크윙,,,,,,
468,339770,교촌에프앤비,,,,,,
469,99320,쎄트렉아이,,,,,,
470,9680,모토닉,,,,,,
471,89010,켐트로닉스,,,,,,
472,321550,티움바이오,,,,,,
473,89970,에이피티씨,,,,,,
474,80160,모두투어,,,,,,
475,29960,코엔텍,,,,,,
476,25860,남해화학,,,,,,
477,284620,카이노스메드,,,,,,
478,3800,에이스침대,,,,,,
479,272290,이녹스첨단소재,,,,,,
480,298060,에스씨엠생명과학,,,,,,
481,30520,한글과컴퓨터,,,,,,
482,39560,다산네트웍스,,,,,,
483,93050,LF,,,,,,
484,225570,넷게임즈,,,,,,
485,20,동화약품,,,,,,
486,34120,SBS,,,,,,
487,122990,와이솔,,,,,,
488,67000,조이시티,,,,,,
489,3620,쌍용차,,,,,,
490,93320,케이아이엔엑스,,,,,,
491,322000,현대에너지솔루션,,,,,,
492,119860,다나와,,,,,,
493,299030,하나기술,,,,,,
494,53210,스카이라이프,,,,,,
495,60720,KH바텍,,,,,,
496,215000,골프존,,,,,,
497,44340,위닉스,,,,,,
498,138250,엔에스쇼핑,,,,,,
499,53610,프로텍,,,,,,
500,78590,OQP,,,,,,
501,126560,현대퓨처넷,,,,,,
502,101360,이엔드디,,,,,,
503,1780,알루코,,,,,,
504,11280,태림포장,,,,,,
505,1510,SK증권,,,,,,
506,65680,우주일렉트로,,,,,,
507,370,한화손해보험,,,,,,
508,52400,코나아이,,,,,,
509,2390,한독,,,,,,
510,216080,제테마,,,,,,
511,97780,에스맥,,,,,,
512,192440,슈피겐코리아,,,,,,
513,33180,필룩스,,,,,,
514,34950,한국기업평가,,,,,,
515,2270,롯데푸드,,,,,,
516,6840,AK홀딩스,,,,,,
517,45390,대아티아이,,,,,,
518,293480,하나제약,,,,,,
519,4700,조광피혁,,,,,,
520,241840,에이스토리,,,,,,
521,36200,유니셈,,,,,,
522,80580,오킨스전자,,,,,,
523,2780,진흥기업,,,,,,
524,121800,비덴트,,,,,,
525,200710,에이디테크놀로지,,,,,,
526,6060,화승인더,,,,,,
527,33240,자화전자,,,,,,
528,29460,케이씨,,,,,,
529,228670,레이,,,,,,
530,2310,아세아제지,,,,,,
531,38540,상상인,,,,,,
532,100130,동국S&C,,,,,,
533,1200,유진투자증권,,,,,,
534,347860,알체라,,,,,,
535,1500,현대차증권,,,,,,
536,78020,이베스트투자증권,,,,,,
537,4430,송원산업,,,,,,
538,77500,유니퀘스트,,,,,,
539,43150,바텍,,,,,,
540,63160,종근당바이오,,,,,,
541,37270,YG PLUS,,,,,,
542,194480,데브시스터즈,,,,,,
543,23410,유진기업,,,,,,
544,104700,한국철강,,,,,,
545,95340,ISC,,,,,,
546,73490,이노와이어리스,,,,,,
547,241820,피씨엘,,,,,,
548,84690,대상홀딩스,,,,,,
549,122450,KMH,,,,,,
550,3220,대원제약,,,,,,
551,265520,AP시스템,,,,,,
552,96760,JW홀딩스,,,,,,
553,46440,KG모빌리언스,,,,,,
554,136490,선진,,,,,,
555,50960,수산아이앤티,,,,,,
556,121600,나노신소재,,,,,,
557,52710,아모텍,,,,,,
558,216050,인크로스,,,,,,
559,230240,에치에프알,,,,,,
560,234080,JW생명과학,,,,,,
561,35890,서희건설,,,,,,
562,99190,아이센스,,,,,,
563,220630,해마로푸드서비스,,,,,,
564,285490,노바텍,,,,,,
565,214390,경보제약,,,,,,
566,50,경방,,,,,,
567,102460,이연제약,,,,,,
568,42040,케이피엠테크,,,,,,
569,72710,농심홀딩스,,,,,,
570,140,하이트진로홀딩스,,,,,,
571,245620,EDGC,,,,,,
572,299660,셀리드,,,,,,
573,7810,코리아써키트,,,,,,
574,16580,환인제약,,,,,,
575,37560,LG헬로비전,,,,,,
576,5500,삼진제약,,,,,,
577,4690,삼천리,,,,,,
578,2210,동성제약,,,,,,
579,16800,퍼시스,,,,,,
580,237880,클리오,,,,,,
581,5950,이수화학,,,,,,
582,243840,신흥에스이씨,,,,,,
583,7460,에이프로젠 KIC,,,,,,
584,79430,현대리바트,,,,,,
585,51370,인터플렉스,,,,,,
586,214870,뉴지랩,,,,,,
587,47920,에이치엘비제약,,,,,,
588,49950,미래컴퍼니,,,,,,
589,183190,아세아시멘트,,,,,,
590,42000,카페24,,,,,,
591,84680,이월드,,,,,,
592,67310,하나마이크론,,,,,,
593,36630,세종텔레콤,,,,,,
594,82920,비츠로셀,,,,,,
595,194700,노바렉스,,,,,,
596,83420,그린케미칼,,,,,,
597,92220,KEC,,,,,,
598,139670,키네마스터,,,,,,
599,52260,현대바이오랜드,,,,,,
600,100120,뷰웍스,,,,,,
601,2240,고려제강,,,,,,
602,4560,현대비앤지스틸,,,,,,
603,45100,한양이엔지,,,,,,
604,4710,한솔테크닉스,,,,,,
605,131390,피앤이솔루션,,,,,,
606,317400,자이에스앤디,,,,,,
607,41190,우리기술투자,,,,,,
608,317690,퀀타매트릭스,,,,,,
609,5420,코스모화학,,,,,,
610,480,조선내화,,,,,,
611,138610,나이벡,,,,,,
612,68330,일신바이오,,,,,,
613,25770,한국정보통신,,,,,,
614,109820,진매트릭스,,,,,,
615,2960,한국쉘석유,,,,,,
616,214330,금호에이치티,,,,,,
617,317330,덕산테코피아,,,,,,
618,75580,세진중공업,,,,,,
619,217330,싸이토젠,,,,,,
620,5810,풍산홀딩스,,,,,,
621,23800,인지컨트롤스,,,,,,
622,195990,에이비프로바이오,,,,,,
623,256840,한국비엔씨,,,,,,
624,25950,동신건설,,,,,,
625,318020,포인트모바일,,,,,,
626,143160,아이디스,,,,,,
627,213500,한솔제지,,,,,,
628,2990,금호산업,,,,,,
629,294140,레몬,,,,,,
630,36580,팜스코,,,,,,
631,115960,연우,,,,,,
632,47310,파워로직스,,,,,,
633,35080,인터파크,,,,,,
634,2620,제일파마홀딩스,,,,,,
635,166480,코아스템,,,,,,
636,19680,대교,,,,,,
637,87010,펩트론,,,,,,
638,9580,무림P&P,,,,,,
639,84110,휴온스글로벌,,,,,,
640,45970,코아시아,,,,,,
641,52020,에스티큐브,,,,,,
642,307750,국전약품,,,,,,
643,95720,웅진씽크빅,,,,,,
644,143240,사람인에이치알,,,,,,
645,40910,아이씨디,,,,,,
646,3300,한일홀딩스,,,,,,
647,251370,와이엠티,,,,,,
648,187870,디바이스이엔지,,,,,,
649,64260,다날,,,,,,
650,123040,엠에스오토텍,,,,,,
651,58650,세아홀딩스,,,,,,
652,262260,에이프로,,,,,,
653,234340,세틀뱅크,,,,,,
654,33500,동성화인텍,,,,,,
655,208340,파멥신,,,,,,
656,122900,아이마켓코리아,,,,,,
657,348030,모비릭스,,,,,,
658,11040,경동제약,,,,,,
659,52420,오성첨단소재,,,,,,
660,10170,대한광통신,,,,,,
661,80420,모다이노칩,,,,,,
662,390,삼화페인트,,,,,,
663,161580,필옵틱스,,,,,,
664,12610,경인양행,,,,,,
665,136480,하림,,,,,,
666,25320,시노펙스,,,,,,
667,298690,에어부산,,,,,,
668,91810,티웨이항공,,,,,,
669,272550,삼양패키징,,,,,,
670,47820,초록뱀,,,,,,
671,100700,세운메디칼,,,,,,
672,60570,드림어스컴퍼니,,,,,,
673,101160,월덱스,,,,,,
674,110790,크리스에프앤씨,,,,,,
675,1520,동양,,,,,,
676,123860,아나패스,,,,,,
677,129890,앱코,,,,,,
678,39440,에스티아이,,,,,,
679,115180,큐리언트,,,,,,
680,5960,동부건설,,,,,,
681,1390,KG케미칼,,,,,,
682,299900,위지윅스튜디오,,,,,,
683,18290,브이티지엠피,,,,,,
684,142280,녹십자엠에스,,,,,,
685,11500,한농화성,,,,,,
686,79370,제우스,,,,,,
687,83310,엘오티베큠,,,,,,
688,298540,더네이쳐홀딩스,,,,,,
689,61250,화일약품,,,,,,
690,82800,비보존 헬스케어,,,,,,
691,297090,씨에스베어링,,,,,,
692,304840,피플바이오,,,,,,
693,36800,나이스정보통신,,,,,,
694,54780,키이스트,,,,,,
695,7690,국도화학,,,,,,
696,82210,옵트론텍,,,,,,
697,4360,세방,,,,,,
698,13580,계룡건설,,,,,,
699,161000,애경유화,,,,,,
700,17550,수산중공업,,,,,,
701,61040,알에프텍,,,,,,
702,199820,제일전기공업,,,,,,
703,36030,KTH,,,,,,
704,15860,일진홀딩스,,,,,,
705,16450,한세예스24홀딩스,,,,,,
706,17890,한국알콜,,,,,,
707,2100,경농,,,,,,
708,118990,모트렉스,,,,,,
709,65350,신성델타테크,,,,,,
710,2150,도화엔지니어링,,,,,,
711,89600,나스미디어,,,,,,
712,1570,금양,,,,,,
713,17940,E1,,,,,,
714,126340,비나텍,,,,,,
715,33310,엠투엔,,,,,,
716,4380,삼익THK,,,,,,
717,66590,우수AMS,,,,,,
718,253840,수젠텍,,,,,,
719,79980,휴비스,,,,,,
720,92130,이크레더블,,,,,,
721,58400,KNN,,,,,,
722,60280,큐렉소,,,,,,
723,45660,에이텍,,,,,,
724,100790,미래에셋벤처투자,,,,,,
725,1940,KISCO홀딩스,,,,,,
726,44490,태웅,,,,,,
727,84010,대한제강,,,,,,
728,144960,뉴파워프라즈마,,,,,,
729,90360,로보스타,,,,,,
730,256940,케이피에스,,,,,,
731,101060,SBS미디어홀딩스,,,,,,
732,43610,지니뮤직,,,,,,
733,29530,신도리코,,,,,,
734,354200,엔젠바이오,,,,,,
735,104460,디와이피엔에프,,,,,,
736,66700,테라젠이텍스,,,,,,
737,54920,한컴위드,,,,,,
738,23900,풍국주정,,,,,,
739,306200,세아제강,,,,,,
740,7340,디티알오토모티브,,,,,,
741,430,대원강업,,,,,,
742,77360,덕산하이메탈,,,,,,
743,179900,유티아이,,,,,,
744,207760,미스터블루,,,,,,
745,163730,핑거,,,,,,
746,33530,세종공업,,,,,,
747,238090,앤디포스,,,,,,
748,288330,브릿지바이오테라퓨틱스,,,,,,
749,85370,루트로닉,,,,,,
750,226330,신테카바이오,,,,,,
751,102120,어보브반도체,,,,,,
752,215360,우리산업,,,,,,
753,2020,코오롱,,,,,,
754,36530,S&T홀딩스,,,,,,
755,148150,세경하이테크,,,,,,
756,290670,대보마그네틱,,,,,,
757,41830,인바디,,,,,,
758,92730,네오팜,,,,,,
759,16590,신대양제지,,,,,,
760,90850,이지웰,,,,,,
761,228760,지노믹트리,,,,,,
762,25000,KPX케미칼,,,,,,
763,31330,에스에이엠티,,,,,,
764,2810,삼영무역,,,,,,
765,31440,신세계푸드,,,,,,
766,67080,대화제약,,,,,,
767,289080,SV인베스트먼트,,,,,,
768,92070,디엔에프,,,,,,
769,44450,KSS해운,,,,,,
770,38290,마크로젠,,,,,,
771,335810,프리시젼바이오,,,,,,
772,2630,오리엔트바이오,,,,,,
773,67900,와이엔텍,,,,,,
774,37710,광주신세계,,,,,,
775,348350,위드텍,,,,,,
776,160550,NEW,,,,,,
777,51500,CJ프레시웨이,,,,,,
778,95190,이엠코리아,,,,,,
779,3560,IHQ,,,,,,
780,205470,휴마시스,,,,,,
781,267850,아시아나IDT,,,,,,
782,36890,진성티이씨,,,,,,
783,101530,해태제과식품,,,,,,
784,288620,에스퓨얼셀,,,,,,
785,42370,비츠로테크,,,,,,
786,356860,티엘비,,,,,,
787,217600,켐온,,,,,,
788,1130,대한제분,,,,,,
789,312610,에이에프더블류,,,,,,
790,5720,넥센,,,,,,
791,234690,녹십자웰빙,,,,,,
792,270870,뉴트리,,,,,,
793,308170,센트랄모텍,,,,,,
794,63080,게임빌,,,,,,
795,92230,KPX홀딩스,,,,,,
796,282880,코윈테크,,,,,,
797,94280,효성ITX,,,,,,
798,65530,전파기지국,,,,,,
799,6490,인스코비,,,,,,
800,220100,퓨쳐켐,,,,,,
