"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" ","1172","경기도 포천시 영중면 양문공단로3길 20","18814","2017","㈜천일에너지","740","150610","3330"," ","73538"
" "," ","경기도 파주시 문산읍 방촌로 1675-29"," ","2017","전기초자코리아㈜"," ","150612"," "," ","60663"
" "," ","경기도 양주시 화합로1710번길 125"," ","2017","㈜대륜발전"," ","150613"," "," ","212008"
" ","487","경기도 하남시 미사대로 710 (신장동)"," ","2017","하남시 친환경사업소(구 하남시청)","252","150615","1548"," ","5543"
" "," ","경기도 포천시 창수면 포천로2797번길 17"," ","2017","포천파워㈜"," ","150620"," "," ","480305"
" ","113","경기도 양주시 남면 화합로610번길 30-180"," ","2017","㈜지이에스","2","150621","5083"," ","3556"
" "," ","경기도 고양시 덕양구  대덕로 426(현천동)"," ","2017","한국지역난방공사 중앙지사(난지)"," ","150626"," "," ","4482"
" ","496","경기도 양주시 남면 검준2길 21","449","2017","에스앤이에너지㈜","839","150627","4456"," ","27767"
" "," ","경기도 하남시 조정대로 77"," ","2017","나래에너지서비스㈜하남사업소"," ","150629"," "," ","98004"
" "," ","경기도 오산시 황새로149번길 55"," ","2017","디에스파워㈜"," ","150630"," "," ","199519"
" ","268","경기도 안산시 단원구 번영2로 144 (성곡동)","230","2017","㈜한샘","85","150632","8889"," ","10015"
" "," ","경기도 군포시 농심로 35"," ","2017","㈜농심 안양공장"," ","150652"," "," ","7774"
" "," ","경기도 군포시 엘에스로45번길 84"," ","2017","㈜대왕제지 군포공장"," ","150653"," "," ","1185"
" "," ","경기도 평택시 안중읍 서해로 1427"," ","2017","오뚜기라면㈜"," ","150655"," "," ","6115"
" "," ","경기도 이천시 부발읍 경충대로 2091"," ","2017","SK에너지㈜하이닉스 이천지점"," ","150657"," "," ","19764"
